timestamp;throughput
1;21.043
515;17.179
389;17.191
263;17.497
138;17.653
12;18.655
525;17.235
399;17.179
273;17.432
148;17.801
22;17.891
410;17.24
284;17.452
159;17.668
33;16.939
420;17.209
294;17.459
169;17.602
43;16.679
431;17.242
305;17.445
180;17.504
54;17.261
441;17.245
315;17.424
190;17.504
64;17.443
452;17.248
326;17.36
200;17.308
75;17.384
462;17.219
336;17.288
211;17.405
85;17.81
473;17.222
347;17.316
221;17.477
96;17.711
483;17.248
357;17.23
232;17.48
106;17.735
494;17.241
368;17.246
242;17.453
117;17.497
504;17.232
378;17.214
252;17.541
127;17.632
