timestamp;latency
1;3.727
515;2.856
389;2.81
263;2.719
138;2.547
12;2.632
525;2.873
399;2.821
273;2.698
148;2.562
22;2.81
410;2.804
284;2.712
159;2.718
33;2.761
420;2.828
294;2.685
169;2.686
43;2.604
431;2.843
305;2.693
180;2.69
54;2.657
441;2.869
315;2.723
190;2.695
64;2.619
452;2.879
326;2.743
200;2.669
75;2.663
462;2.861
336;2.718
211;2.662
85;2.654
473;2.865
347;2.776
221;2.629
96;2.602
483;2.857
357;2.771
232;2.665
106;2.575
494;2.858
368;2.817
242;2.696
117;2.554
504;2.87
378;2.801
252;2.694
127;2.574
timestamp;latency
1;6.167
321;5.676
259;5.639
197;5.868
135;6.185
73;7.889
393;5.885
11;4.551
331;5.738
269;5.573
207;5.715
145;6.142
83;7.364
403;5.861
21;5.665
341;5.673
279;5.512
217;5.777
156;6.042
413;5.888
94;6.535
351;5.773
32;5.48
290;5.614
228;5.676
166;5.859
104;6.645
424;5.892
42;4.968
362;5.826
300;5.632
238;5.536
176;5.839
114;6.385
434;5.913
372;5.847
310;5.635
248;5.632
187;5.789
444;5.948
125;6.238
382;5.834
63;6.567
timestamp;latency
64;4.097
1;0.0
451;3.815
388;3.881
326;3.828
263;3.889
201;3.771
138;4.012
75;4.056
12;0.0
399;3.851
336;3.85
274;3.905
211;3.809
148;3.94
85;4.002
22;4.234
409;3.846
346;3.821
284;3.888
221;3.784
159;3.905
96;3.984
33;4.464
420;3.842
357;3.835
294;3.88
232;3.832
169;3.898
106;4.024
43;4.313
430;3.833
367;3.848
305;3.843
242;3.872
180;3.833
117;4.139
54;4.34
441;3.813
378;3.849
315;3.832
253;3.872
190;3.816
127;4.103
timestamp;latency
1;12.5
258;7.117
516;6.942
134;7.177
392;6.889
11;9.34
268;7.101
145;7.071
402;6.894
21;8.311
278;7.074
155;7.167
412;6.922
32;7.254
289;7.079
165;7.11
423;6.968
42;7.66
299;7.078
176;7.061
433;6.944
52;7.529
309;7.061
186;7.045
443;6.943
62;7.329
320;7.016
196;6.973
454;6.946
73;7.421
330;7.017
206;7.072
464;6.976
83;7.66
340;7.006
217;7.096
474;6.989
93;7.45
351;6.997
227;7.075
485;6.974
103;7.423
361;7.004
237;7.077
495;6.956
114;7.331
371;6.955
248;7.087
505;6.94
124;7.23
381;6.905
