"timestamp";"topology";"status"
"1";"heatwave-1-1467760692";"ACTIVE"
"3";"heatwave-1-1467760692";"ACTIVE"
"6";"heatwave-1-1467760692";"ACTIVE"
"8";"heatwave-1-1467760692";"ACTIVE"
"10";"heatwave-1-1467760692";"ACTIVE"
"12";"heatwave-1-1467760692";"ACTIVE"
"14";"heatwave-1-1467760692";"ACTIVE"
"16";"heatwave-1-1467760692";"ACTIVE"
"18";"heatwave-1-1467760692";"ACTIVE"
"20";"heatwave-1-1467760692";"ACTIVE"
"22";"heatwave-1-1467760692";"ACTIVE"
"24";"heatwave-1-1467760692";"ACTIVE"
"26";"heatwave-1-1467760692";"ACTIVE"
"28";"heatwave-1-1467760692";"ACTIVE"
"30";"heatwave-1-1467760692";"ACTIVE"
"40";"heatwave-1-1467760692";"ACTIVE"
"50";"heatwave-1-1467760692";"ACTIVE"
"60";"heatwave-1-1467760692";"ACTIVE"
"70";"heatwave-1-1467760692";"ACTIVE"
"72";"heatwave-1-1467760692";"ACTIVE"
"74";"heatwave-1-1467760692";"ACTIVE"
"76";"heatwave-1-1467760692";"ACTIVE"
"78";"heatwave-1-1467760692";"ACTIVE"
"80";"heatwave-1-1467760692";"REBALANCING"
"82";"heatwave-1-1467760692";"REBALANCING"
"84";"heatwave-1-1467760692";"ACTIVE"
"87";"heatwave-1-1467760692";"ACTIVE"
"89";"heatwave-1-1467760692";"ACTIVE"
"91";"heatwave-1-1467760692";"ACTIVE"
"93";"heatwave-1-1467760692";"ACTIVE"
"95";"heatwave-1-1467760692";"ACTIVE"
"97";"heatwave-1-1467760692";"ACTIVE"
"99";"heatwave-1-1467760692";"ACTIVE"
"101";"heatwave-1-1467760692";"ACTIVE"
"103";"heatwave-1-1467760692";"ACTIVE"
"105";"heatwave-1-1467760692";"ACTIVE"
"107";"heatwave-1-1467760692";"ACTIVE"
"110";"heatwave-1-1467760692";"ACTIVE"
"112";"heatwave-1-1467760692";"ACTIVE"
"114";"heatwave-1-1467760692";"ACTIVE"
"117";"heatwave-1-1467760692";"ACTIVE"
"119";"heatwave-1-1467760692";"ACTIVE"
"122";"heatwave-1-1467760692";"ACTIVE"
"132";"heatwave-1-1467760692";"ACTIVE"
"134";"heatwave-1-1467760692";"ACTIVE"
"137";"heatwave-1-1467760692";"ACTIVE"
"139";"heatwave-1-1467760692";"ACTIVE"
"141";"heatwave-1-1467760692";"ACTIVE"
"143";"heatwave-1-1467760692";"ACTIVE"
"145";"heatwave-1-1467760692";"REBALANCING"
"148";"heatwave-1-1467760692";"ACTIVE"
"150";"heatwave-1-1467760692";"ACTIVE"
"152";"heatwave-1-1467760692";"ACTIVE"
"155";"heatwave-1-1467760692";"ACTIVE"
"157";"heatwave-1-1467760692";"ACTIVE"
"159";"heatwave-1-1467760692";"ACTIVE"
"161";"heatwave-1-1467760692";"ACTIVE"
"163";"heatwave-1-1467760692";"ACTIVE"
"165";"heatwave-1-1467760692";"ACTIVE"
"167";"heatwave-1-1467760692";"ACTIVE"
"169";"heatwave-1-1467760692";"ACTIVE"
"171";"heatwave-1-1467760692";"ACTIVE"
"173";"heatwave-1-1467760692";"ACTIVE"
"175";"heatwave-1-1467760692";"ACTIVE"
"178";"heatwave-1-1467760692";"ACTIVE"
"180";"heatwave-1-1467760692";"ACTIVE"
"182";"heatwave-1-1467760692";"ACTIVE"
"184";"heatwave-1-1467760692";"ACTIVE"
"186";"heatwave-1-1467760692";"ACTIVE"
"188";"heatwave-1-1467760692";"ACTIVE"
"190";"heatwave-1-1467760692";"ACTIVE"
"192";"heatwave-1-1467760692";"ACTIVE"
"194";"heatwave-1-1467760692";"ACTIVE"
"206";"heatwave-1-1467760692";"ACTIVE"
"215";"heatwave-1-1467760692";"ACTIVE"
"218";"heatwave-1-1467760692";"ACTIVE"
"220";"heatwave-1-1467760692";"ACTIVE"
"223";"heatwave-1-1467760692";"ACTIVE"
"225";"heatwave-1-1467760692";"ACTIVE"
"228";"heatwave-1-1467760692";"ACTIVE"
"230";"heatwave-1-1467760692";"ACTIVE"
"232";"heatwave-1-1467760692";"ACTIVE"
"234";"heatwave-1-1467760692";"ACTIVE"
"236";"heatwave-1-1467760692";"ACTIVE"
"238";"heatwave-1-1467760692";"ACTIVE"
"241";"heatwave-1-1467760692";"ACTIVE"
"243";"heatwave-1-1467760692";"ACTIVE"
"245";"heatwave-1-1467760692";"ACTIVE"
"248";"heatwave-1-1467760692";"ACTIVE"
"250";"heatwave-1-1467760692";"ACTIVE"
"252";"heatwave-1-1467760692";"ACTIVE"
"255";"heatwave-1-1467760692";"ACTIVE"
"257";"heatwave-1-1467760692";"ACTIVE"
"259";"heatwave-1-1467760692";"ACTIVE"
"261";"heatwave-1-1467760692";"ACTIVE"
"263";"heatwave-1-1467760692";"ACTIVE"
"265";"heatwave-1-1467760692";"ACTIVE"
"267";"heatwave-1-1467760692";"ACTIVE"
"269";"heatwave-1-1467760692";"ACTIVE"
"272";"heatwave-1-1467760692";"ACTIVE"
"274";"heatwave-1-1467760692";"ACTIVE"
"276";"heatwave-1-1467760692";"ACTIVE"
"278";"heatwave-1-1467760692";"ACTIVE"
"280";"heatwave-1-1467760692";"ACTIVE"
