timestamp;executed
1;480.0
321;2820.0
259;2220.0
197;2900.0
135;2120.0
73;2180.0
393;2880.0
11;2640.0
331;2140.0
269;2840.0
207;2180.0
145;2120.0
83;2900.0
403;2080.0
21;1720.0
341;2840.0
279;2060.0
217;2200.0
156;3000.0
413;2920.0
94;2140.0
351;2120.0
32;1780.0
290;2140.0
228;2900.0
166;2160.0
104;2860.0
424;2200.0
42;2760.0
362;2940.0
300;2800.0
238;2220.0
176;2900.0
114;2140.0
434;2860.0
372;2160.0
310;2160.0
248;2760.0
187;2220.0
444;2120.0
125;2820.0
382;2160.0
63;1960.0
